"latitude","longitude","survey_date","class","order","family","genus","species","valid_genus","valid_species","biomass_mean","size_class_mean","total_mean","bodySize","ref_bodysize"
-43.3,147.2,2021-03-22,"Actinopterygii","Gadiformes","Moridae","Pseudophycis","bachus","Pseudophycis","bachus",883.2,50,1,90,"Fishbase2022"
-43.3,147.2,2021-03-22,"Actinopterygii","Perciformes","Plesiopidae","Trachinops","caudimaculatus","Trachinops","caudimaculatus",3412.4,7.5,482.1,15,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Tetraodontiformes","Monacanthidae","Acanthaluteres","spilomelanurus","Acanthaluteres","spilomelanurus",5.5,5,1,14,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Tetraodontiformes","Monacanthidae","Acanthaluteres","vittiger","Acanthaluteres","vittiger",27.9,6.2,2,35,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Perciformes","Serranidae","Caesioperca","rasor","Caesioperca","rasor",166.9,11.2,1.8,25,"Fishbase2022"
-43.3,147.2,2022-03-04,"Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium","laticeps","Cephaloscyllium","laticeps",141.7,40,1,150,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Perciformes","Dinolestidae","Dinolestes","lewini","Dinolestes","lewini",161.9,22.1,1.4,84,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Tetraodontiformes","Diodontidae","Diodon","nicthemerus","Diodon","nicthemerus",255.4,15,2,40,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Perciformes","Labridae","Dotalabrus","aurantiacus","Dotalabrus","aurantiacus",2.6,5,1,11.1,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Perciformes","Latridae","Latridopsis","forsteri","Latridopsis","forsteri",1465.5,32.5,3.1,65,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Tetraodontiformes","Monacanthidae","Meuschenia","australis","Meuschenia","australis",528.6,22.5,1.5,30,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Perciformes","Odacidae","Neoodax","balteatus","Neoodax","balteatus",37.7,7.7,4.3,14,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Perciformes","Labridae","Notolabrus","fucicola","Notolabrus","fucicola",228.4,21.1,1.2,38,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Perciformes","Labridae","Notolabrus","tetricus","Notolabrus","tetricus",247.2,18.9,2.5,50,"Fishbase2022"
-43.3,147.2,2022-03-04,"Elasmobranchii","Orectolobiformes","Parascylliidae","Parascyllium","ferrugineum","Parascyllium","ferrugineum",581.6,62.5,1,80,"Fishbase2022"
