"class","family","genus","species","valid_genus","valid_species","bodySize"
"Actinopterygii","Blenniidae","Aspidontus","taeniatus","Aspidontus","taeniatus",11.5
"Actinopterygii","Blenniidae","Atrosalarias","holomelas","Atrosalarias","holomelas",14.5
"Actinopterygii","Blenniidae","Blenniella","chrysospilos","Blenniella","chrysospilos",13
"Actinopterygii","Blenniidae","Blenniidae","spp.",NA,NA,NA
"Actinopterygii","Blenniidae","Cirripectes","alboapicalis","Cirripectes","alboapicalis",15.5
"Actinopterygii","Blenniidae","Cirripectes","alleni","Cirripectes","alleni",6.5
"Actinopterygii","Blenniidae","Cirripectes","castaneus","Cirripectes","castaneus",9.2
"Actinopterygii","Blenniidae","Cirripectes","chelomatus","Cirripectes","chelomatus",9.4
"Actinopterygii","Blenniidae","Cirripectes","filamentosus","Cirripectes","filamentosus",7.5
"Actinopterygii","Blenniidae","Cirripectes","hutchinsi","Cirripectes","hutchinsi",10.6
"Actinopterygii","Blenniidae","Cirripectes","spp.",NA,NA,NA
"Actinopterygii","Blenniidae","Cirripectes","stigmaticus","Cirripectes","stigmaticus",10
"Actinopterygii","Blenniidae","Cirripectes","variolosus","Cirripectes","variolosus",8.9
"Actinopterygii","Blenniidae","Crossosalarias","macrospilus","Crossosalarias","macrospilus",10
"Actinopterygii","Blenniidae","Ecsenius","aequalis","Ecsenius","aequalis",4.3
"Actinopterygii","Blenniidae","Ecsenius","alleni","Ecsenius","alleni",3.4
"Actinopterygii","Blenniidae","Ecsenius","bicolor","Ecsenius","bicolor",11
"Actinopterygii","Blenniidae","Ecsenius","fourmanoiri","Ecsenius","fourmanoiri",4.9
"Actinopterygii","Blenniidae","Ecsenius","lividanalis","Ecsenius","lividanalis",5
"Actinopterygii","Blenniidae","Ecsenius","mandibularis","Ecsenius","mandibularis",7.5
"Actinopterygii","Blenniidae","Ecsenius","midas","Ecsenius","midas",13
"Actinopterygii","Blenniidae","Ecsenius","oculatus","Ecsenius","oculatus",4.7
"Actinopterygii","Blenniidae","Ecsenius","sp.",NA,NA,NA
"Actinopterygii","Blenniidae","Ecsenius","spp.",NA,NA,NA
"Actinopterygii","Blenniidae","Ecsenius","stictus","Ecsenius","stictus",5.8
"Actinopterygii","Blenniidae","Ecsenius","trilineatus","Ecsenius","trilineatus",3
"Actinopterygii","Blenniidae","Ecsenius","yaeyamaensis","Ecsenius","yaeyamaensis",6
"Actinopterygii","Blenniidae","Exallias","brevis","Exallias","brevis",14.5
"Actinopterygii","Blenniidae","Glyptoparus","delicatulus","Glyptoparus","delicatulus",5
"Actinopterygii","Blenniidae","Glyptoparus","sp.",NA,NA,NA
"Actinopterygii","Blenniidae","Meiacanthus","atrodorsalis","Meiacanthus","atrodorsalis",11
"Actinopterygii","Blenniidae","Meiacanthus","ditrema","Meiacanthus","ditrema",6.5
"Actinopterygii","Blenniidae","Meiacanthus","grammistes","Meiacanthus","grammistes",11
"Actinopterygii","Blenniidae","Meiacanthus","lineatus","Meiacanthus","lineatus",9.5
"Actinopterygii","Blenniidae","Meiacanthus","phaeus","Meiacanthus","phaeus",NA
"Actinopterygii","Blenniidae","Meiacanthus","reticulatus","Meiacanthus","reticulatus",6.3
"Actinopterygii","Blenniidae","Meiacanthus","spp.",NA,NA,NA
"Actinopterygii","Blenniidae","Omobranchus","anolius","Omobranchus","anolius",7.5
"Actinopterygii","Blenniidae","Parablennius","intermedius","Parablennius","intermedius",12
"Actinopterygii","Blenniidae","Parablennius","serratolineatus","Parablennius","serratolineatus",NA
"Actinopterygii","Blenniidae","Parablennius","tasmanianus","Parablennius","tasmanianus",13
"Actinopterygii","Blenniidae","Petroscirtes","fallax","Petroscirtes","fallax",9.5
"Actinopterygii","Blenniidae","Petroscirtes","lupus","Petroscirtes","lupus",13
"Actinopterygii","Blenniidae","Plagiotremus","laudandus","Plagiotremus","laudandus",8
"Actinopterygii","Blenniidae","Plagiotremus","rhinorhynchos","Plagiotremus","rhinorhynchos",12
"Actinopterygii","Blenniidae","Plagiotremus","tapeinosoma","Plagiotremus","tapeinosoma",14
"Actinopterygii","Blenniidae","Salarias","ceramensis","Salarias","ceramensis",15
"Actinopterygii","Blenniidae","Salarias","fasciatus","Salarias","fasciatus",14
"Actinopterygii","Blenniidae","Salarias","guttatus","Salarias","guttatus",10
"Actinopterygii","Blenniidae","Salarias","patzneri","Salarias","patzneri",5.5
"Actinopterygii","Blenniidae","Stanulus","talboti","Stanulus","talboti",4.8
"Actinopterygii","Bovichtidae","Bovichtus","angustifrons","Bovichtus","angustifrons",28
"Actinopterygii","Caesionidae","Caesio","caerulaurea","Caesio","caerulaurea",35
"Actinopterygii","Caesionidae","Caesio","cuning","Caesio","cuning",60
"Actinopterygii","Caesionidae","Caesio","lunaris","Caesio","lunaris",40
"Actinopterygii","Caesionidae","Caesio","teres","Caesio","teres",40
"Actinopterygii","Caesionidae","Pterocaesio","digramma","Pterocaesio","digramma",30
"Actinopterygii","Caesionidae","Pterocaesio","marri","Pterocaesio","marri",35
"Actinopterygii","Caesionidae","Pterocaesio","pisang","Pterocaesio","pisang",21
"Actinopterygii","Caesionidae","Pterocaesio","spp.",NA,NA,NA
"Actinopterygii","Caesionidae","Pterocaesio","tile","Pterocaesio","tile",30
"Actinopterygii","Caesionidae","Pterocaesio","trilineata","Pterocaesio","trilineata",20
"Actinopterygii","Callanthiidae","Callanthias","australis","Callanthias","australis",49
"Actinopterygii","Callionymidae","Anaora","tentaculata","Anaora","tentaculata",6
"Actinopterygii","Callionymidae","Diplogrammus","goramensis","Diplogrammus","goramensis",10
"Actinopterygii","Callionymidae","Eocallionymus","papilio","Eocallionymus","papilio",10
"Actinopterygii","Callionymidae","Foetorepus","calauropomus","Foetorepus","calauropomus",30
"Actinopterygii","Callionymidae","Synchiropus","moyeri","Synchiropus","moyeri",7.5
"Actinopterygii","Callionymidae","Synchiropus","spp.",NA,NA,NA
"Actinopterygii","Carangidae","Alepes","vari","Alepes","vari",56
"Actinopterygii","Carangidae","Atule","mate","Atule","mate",30
"Actinopterygii","Carangidae","Carangidae","spp.",NA,NA,NA
"Actinopterygii","Carangidae","Carangoides","ferdau","Carangoides","ferdau",70
"Actinopterygii","Carangidae","Carangoides","fulvoguttatus","Carangoides","fulvoguttatus",120
"Actinopterygii","Carangidae","Carangoides","gymnostethus","Carangoides","gymnostethus",90
"Actinopterygii","Carangidae","Carangoides","orthogrammus","Ferdauia","orthogrammus",70
"Actinopterygii","Carangidae","Carangoides","plagiotaenia","Carangoides","plagiotaenia",50
"Actinopterygii","Carangidae","Caranx","ignobilis","Caranx","ignobilis",170
"Actinopterygii","Carangidae","Caranx","lugubris","Caranx","lugubris",100
"Actinopterygii","Carangidae","Caranx","melampygus","Caranx","melampygus",117
"Actinopterygii","Carangidae","Caranx","papuensis","Caranx","papuensis",88
"Actinopterygii","Carangidae","Caranx","sexfasciatus","Caranx","sexfasciatus",120
"Actinopterygii","Carangidae","Caranx","spp.",NA,NA,NA
"Actinopterygii","Carangidae","Decapterus","macarellus","Decapterus","macarellus",46
"Actinopterygii","Carangidae","Decapterus","muroadsi","Decapterus","muroadsi",50
"Actinopterygii","Carangidae","Decapterus","spp.",NA,NA,NA
"Actinopterygii","Carangidae","Elagatis","bipinnulata","Elagatis","bipinnulata",180
"Actinopterygii","Carangidae","Gnathanodon","speciosus","Gnathanodon","speciosus",120
"Actinopterygii","Carangidae","Pseudocaranx","dentex","Pseudocaranx","dentex",122
"Actinopterygii","Carangidae","Pseudocaranx","georgianus","Pseudocaranx","dentex",122
"Actinopterygii","Carangidae","Pseudocaranx","spp.",NA,NA,NA
"Actinopterygii","Carangidae","Pseudocaranx","wrighti","Pseudocaranx","wrighti",70
"Actinopterygii","Carangidae","Scomberoides","lysan","Scomberoides","lysan",110
"Actinopterygii","Carangidae","Selaroides","leptolepis","Selaroides","leptolepis",22
"Actinopterygii","Carangidae","Seriola","dumerili","Seriola","dumerili",190
"Actinopterygii","Carangidae","Seriola","hippos","Seriola","hippos",150
"Actinopterygii","Carangidae","Seriola","lalandi","Seriola","lalandi",250
"Actinopterygii","Carangidae","Seriola","spp.",NA,NA,NA
"Actinopterygii","Carangidae","Trachinotus","blochii","Trachinotus","blochii",110
"Actinopterygii","Carangidae","Trachurus","declivis","Trachurus","declivis",64
"Actinopterygii","Carangidae","Trachurus","novaezelandiae","Trachurus","novaezelandiae",50
"Actinopterygii","Centriscidae","Aeoliscus","strigatus","Aeoliscus","strigatus",15
"Actinopterygii","Chaetodontidae","Amphichaetodon","howensis","Amphichaetodon","howensis",18
"Actinopterygii","Chaetodontidae","Chaetodon","adiergastos","Chaetodon","adiergastos",20
"Actinopterygii","Chaetodontidae","Chaetodon","assarius","Chaetodon","assarius",13
"Actinopterygii","Chaetodontidae","Chaetodon","aureofasciatus","Chaetodon","aureofasciatus",12.5
"Actinopterygii","Chaetodontidae","Chaetodon","auriga","Chaetodon","auriga",23
"Actinopterygii","Chaetodontidae","Chaetodon","baronessa","Chaetodon","baronessa",16
"Actinopterygii","Chaetodontidae","Chaetodon","bennetti","Chaetodon","bennetti",20
"Actinopterygii","Chaetodontidae","Chaetodon","citrinellus","Chaetodon","citrinellus",13
"Actinopterygii","Chaetodontidae","Chaetodon","decussatus","Chaetodon","decussatus",20
