"class","family","genus","species","valid_genus","valid_species","bodySize","size_class"
"Actinopterygii","Carangidae","Seriola","lalandi","Seriola","lalandi",250,62.5
"Actinopterygii","Carangidae","Seriola","spp.",NA,NA,62.6401807639398,5
"Actinopterygii","Carangidae","Trachinotus","blochii","Trachinotus","blochii",110,62.5
"Actinopterygii","Carangidae","Trachurus","declivis","Trachurus","declivis",64,25
"Actinopterygii","Carangidae","Trachurus","novaezelandiae","Trachurus","novaezelandiae",50,20
"Actinopterygii","Centriscidae","Aeoliscus","strigatus","Aeoliscus","strigatus",15,10
"Actinopterygii","Chaetodontidae","Amphichaetodon","howensis","Amphichaetodon","howensis",18,15
"Actinopterygii","Chaetodontidae","Chaetodon","adiergastos","Chaetodon","adiergastos",20,15
"Actinopterygii","Chaetodontidae","Chaetodon","assarius","Chaetodon","assarius",13,7.5
"Actinopterygii","Chaetodontidae","Chaetodon","aureofasciatus","Chaetodon","aureofasciatus",12.5,7.5
"Actinopterygii","Chaetodontidae","Chaetodon","auriga","Chaetodon","auriga",23,15
"Actinopterygii","Chaetodontidae","Chaetodon","baronessa","Chaetodon","baronessa",16,12.5
"Actinopterygii","Chaetodontidae","Chaetodon","bennetti","Chaetodon","bennetti",20,15
"Actinopterygii","Chaetodontidae","Chaetodon","citrinellus","Chaetodon","citrinellus",13,10
"Actinopterygii","Chaetodontidae","Chaetodon","decussatus","Chaetodon","decussatus",20,12.5
"Actinopterygii","Chaetodontidae","Chaetodon","ephippium","Chaetodon","ephippium",30,15
"Actinopterygii","Chaetodontidae","Chaetodon","flavirostris","Chaetodon","flavirostris",20,15
"Actinopterygii","Chaetodontidae","Chaetodon","guentheri","Chaetodon","guentheri",18,10
"Actinopterygii","Chaetodontidae","Chaetodon","kleinii","Chaetodon","kleinii",15,12.5
"Actinopterygii","Chaetodontidae","Chaetodon","lineolatus","Chaetodon","lineolatus",30,25
"Actinopterygii","Chaetodontidae","Chaetodon","lunula","Chaetodon","lunula",20,15
"Actinopterygii","Chaetodontidae","Chaetodon","lunulatus","Chaetodon","lunulatus",14,10
"Actinopterygii","Chaetodontidae","Chaetodon","melannotus","Chaetodon","melannotus",18,12.5
